,openmlid,learner,metric
2520,1084,SVC_linear,0.625
2521,1084,SVC_poly,0.5
2522,1084,SVC_rbf,0.375
2523,1084,SVC_sigmoid,0.375
2524,1084,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.25
2525,1084,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.75
2526,1084,sklearn.ensemble.ExtraTreesClassifier,0.875
2527,1084,sklearn.ensemble.GradientBoostingClassifier,0.75
2528,1084,sklearn.ensemble.RandomForestClassifier,0.875
2529,1084,sklearn.linear_model.LogisticRegression,0.875
2530,1084,sklearn.linear_model.PassiveAggressiveClassifier,0.75
2531,1084,sklearn.linear_model.Perceptron,0.75
2532,1084,sklearn.linear_model.RidgeClassifier,0.625
2533,1084,sklearn.linear_model.SGDClassifier,0.625
2534,1084,sklearn.naive_bayes.BernoulliNB,0.375
2535,1084,sklearn.naive_bayes.MultinomialNB,1.0
2536,1084,sklearn.neighbors.KNeighborsClassifier,0.75
2537,1084,sklearn.neural_network.MLPClassifier,1.0
2538,1084,sklearn.tree.DecisionTreeClassifier,0.625
2539,1084,sklearn.tree.ExtraTreeClassifier,0.75
2540,1085,SVC_linear,1.0
2541,1085,SVC_poly,1.0
2542,1085,SVC_rbf,0.5714285714285714
2543,1085,SVC_sigmoid,0.5714285714285714
2544,1085,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.7142857142857143
2545,1085,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.5714285714285714
2546,1085,sklearn.ensemble.ExtraTreesClassifier,0.5714285714285714
2547,1085,sklearn.ensemble.GradientBoostingClassifier,0.7142857142857143
2548,1085,sklearn.ensemble.RandomForestClassifier,1.0
2549,1085,sklearn.linear_model.LogisticRegression,1.0
2550,1085,sklearn.linear_model.PassiveAggressiveClassifier,0.5714285714285714
2551,1085,sklearn.linear_model.Perceptron,0.8571428571428571
2552,1085,sklearn.linear_model.RidgeClassifier,1.0
2553,1085,sklearn.linear_model.SGDClassifier,0.42857142857142855
2554,1085,sklearn.naive_bayes.BernoulliNB,0.42857142857142855
2555,1085,sklearn.naive_bayes.MultinomialNB,1.0
2556,1085,sklearn.neighbors.KNeighborsClassifier,1.0
2557,1085,sklearn.neural_network.MLPClassifier,0.7142857142857143
2558,1085,sklearn.tree.DecisionTreeClassifier,0.7142857142857143
2559,1085,sklearn.tree.ExtraTreeClassifier,0.7142857142857143
2560,1086,SVC_linear,0.5
2561,1086,SVC_poly,0.375
2562,1086,SVC_rbf,0.0
2563,1086,SVC_sigmoid,0.0
2564,1086,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.25
2565,1086,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.5
2566,1086,sklearn.ensemble.ExtraTreesClassifier,0.875
