,openmlid,learner,violation,acceptance
67,12,sklearn.linear_model.LogisticRegression,0.0,0.0009246479746914029
68,12,sklearn.linear_model.PassiveAggressiveClassifier,-0.0015112206002471356,0.0014414518189624515
69,12,sklearn.linear_model.Perceptron,-0.0019282552764695673,0.001178007260596548
70,12,sklearn.linear_model.RidgeClassifier,-0.0038637279935492537,0.0031346593199838768
71,12,sklearn.linear_model.SGDClassifier,-0.002535327535327525,0.0009980109980109986
72,12,sklearn.naive_bayes.BernoulliNB,-0.0016904299772825635,0.0016757147235234944
73,12,sklearn.naive_bayes.MultinomialNB,-0.0006906259913291603,0.001917891508935182
74,12,sklearn.neighbors.KNeighborsClassifier,-0.00014772055815644546,0.0009507143614684196
75,12,sklearn.neural_network.MLPClassifier,-0.005523757960141278,0.0028097595291500478
76,12,sklearn.tree.DecisionTreeClassifier,-0.0017749257249083093,0.0006832440825121206
77,12,sklearn.tree.ExtraTreeClassifier,-0.0001581719049479875,0.0007025750724461302
78,13,SVC_linear,-0.016102536674816634,0.010448502444987785
79,13,SVC_poly,-0.013522884882108132,0.016267914932963517
80,13,SVC_rbf,-0.022708185997171143,0.002397896039603998
81,13,SVC_sigmoid,-0.028673245614035135,0.022478070175438514
82,13,sklearn.ensemble.ExtraTreesClassifier,-0.023408385093167665,0.023572291235334764
83,13,sklearn.ensemble.GradientBoostingClassifier,-0.023799514200299004,0.011035594170403583
84,13,sklearn.ensemble.RandomForestClassifier,-0.027259651076466215,0.010822661469933183
85,13,sklearn.linear_model.LogisticRegression,-0.03794014084507012,0.02362089201877945
86,13,sklearn.linear_model.PassiveAggressiveClassifier,-0.021560470779220808,0.011515827922077912
87,13,sklearn.linear_model.Perceptron,-0.011226541554959765,0.08880697050938327
88,13,sklearn.linear_model.RidgeClassifier,-0.010964532871972299,0.008109861591695322
89,13,sklearn.linear_model.SGDClassifier,-0.027927442528735663,0.034554597701149534
90,13,sklearn.naive_bayes.BernoulliNB,-0.01227678571428573,0.025164753401360707
91,13,sklearn.naive_bayes.MultinomialNB,-0.03456526752767539,0.050651522140221554
92,13,sklearn.neighbors.KNeighborsClassifier,-0.03695133587786257,0.006997455470737917
93,13,sklearn.neural_network.MLPClassifier,-0.029331727337615947,0.0205433618843683
94,13,sklearn.tree.DecisionTreeClassifier,-0.033845427852348994,0.032954068791946386
95,13,sklearn.tree.ExtraTreeClassifier,-0.014671184738955794,0.025811579651941068
96,14,SVC_linear,-0.00036373865135407545,0.0010272861304909187
97,14,SVC_poly,-0.00027620878115111586,0.0011388597673605897
98,14,SVC_rbf,-0.0018594354316515116,0.0013687358901664302
99,14,SVC_sigmoid,-0.0042062877782691995,0.0029771118973905436
100,14,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.0032817557903189348,0.0031081403227020735
101,14,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.008929744333320912,0.014639179090604922
102,14,sklearn.ensemble.ExtraTreesClassifier,-0.0003015665931517267,0.0009583534534610856
103,14,sklearn.ensemble.GradientBoostingClassifier,-0.0010574438549712812,0.0007335963055608921
104,14,sklearn.ensemble.RandomForestClassifier,-0.001130442662317057,0.0009341752443560248
105,14,sklearn.linear_model.LogisticRegression,-0.0018186262482742916,0.0014039080552371679
106,14,sklearn.linear_model.PassiveAggressiveClassifier,-0.001602524092475172,0.001548534478454086
107,14,sklearn.linear_model.Perceptron,-0.0008858382062502425,0.001215002129884212
108,14,sklearn.linear_model.RidgeClassifier,-0.00025274127070533603,0.001218342535707805
109,14,sklearn.linear_model.SGDClassifier,-0.0004743775682861927,0.0008755521128617573
110,14,sklearn.naive_bayes.BernoulliNB,0.0,0.0
111,14,sklearn.naive_bayes.MultinomialNB,-0.002230987104886839,0.0008968637506780421
112,14,sklearn.neighbors.KNeighborsClassifier,-0.0001590158609863098,0.0008934557295678917
113,14,sklearn.neural_network.MLPClassifier,-0.00033567425951531587,0.0008596535914416717
114,14,sklearn.tree.DecisionTreeClassifier,-0.0005907837731390137,0.0009041492401082807
115,14,sklearn.tree.ExtraTreeClassifier,-0.0019330136426155217,0.00048790007806401336
116,16,SVC_linear,-0.0005145520258702594,0.0013875678988861434
117,16,SVC_poly,-0.0032587023911944957,0.0011156931683172007
118,16,SVC_rbf,-0.0007224128589488782,0.0011464071247968258
119,16,SVC_sigmoid,-0.000369465186349636,0.0013096429018024658
120,16,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.0023284750551176943,0.0017298164823809502
121,16,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.008510720049181587,0.007171194190424964
122,16,sklearn.ensemble.ExtraTreesClassifier,-0.001589825119236868,0.0009155689302748132
123,16,sklearn.ensemble.GradientBoostingClassifier,-0.0013866448244393493,0.0010873193528118138
124,16,sklearn.ensemble.RandomForestClassifier,-0.000990175645266026,0.0009249591195357136
125,16,sklearn.linear_model.LogisticRegression,0.0,0.0011847111726046387
126,16,sklearn.linear_model.PassiveAggressiveClassifier,0.0,0.0011084709727490385
127,16,sklearn.linear_model.Perceptron,-0.002569149683007699,0.0009956022657315476
128,16,sklearn.linear_model.RidgeClassifier,-0.006948371853359975,0.0031113647503196186
129,16,sklearn.linear_model.SGDClassifier,-0.0007540891846507458,0.0007756175039588202
130,16,sklearn.naive_bayes.BernoulliNB,0.0,0.0010052198279068675
131,16,sklearn.neighbors.KNeighborsClassifier,-0.0003319275226491711,0.0010880832694328488
132,16,sklearn.neural_network.MLPClassifier,-0.0003942667336571172,0.00094015011951706
133,16,sklearn.tree.DecisionTreeClassifier,-0.000768765133171905,0.0006632653061224492
134,16,sklearn.tree.ExtraTreeClassifier,-0.0007336170449488323,0.0007191880841121564
135,18,SVC_linear,-0.004759403761504609,0.0015131052420968385
136,18,SVC_poly,-0.00396620847651776,0.0017194403534609717
137,18,SVC_rbf,-0.0024564170397503647,0.0012637362637362645
138,18,SVC_sigmoid,-0.004579664867935256,0.00611509514342518
139,18,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.0006546290814699893,0.001663137362053528
140,18,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.008055857569991855,0.02263900214430253
141,18,sklearn.ensemble.ExtraTreesClassifier,-0.001816534668260631,0.0014787557282327152
142,18,sklearn.ensemble.GradientBoostingClassifier,-0.0018895039386842844,0.0012147603079980137
143,18,sklearn.ensemble.RandomForestClassifier,-0.0006071104779173325,0.0015579388879479552
144,18,sklearn.linear_model.LogisticRegression,-0.005158730158730169,0.0028347213324791862
145,18,sklearn.linear_model.PassiveAggressiveClassifier,-0.0026078993470297625,0.002580028666985205
146,18,sklearn.linear_model.Perceptron,-0.006239111498257797,0.00297619047619049
147,18,sklearn.linear_model.RidgeClassifier,-0.0016654911515773141,0.0013456085605995844
148,18,sklearn.linear_model.SGDClassifier,-0.0014761831456720656,0.002935872624912082
149,18,sklearn.naive_bayes.BernoulliNB,-0.00048286062293371865,0.00396100380875046
150,18,sklearn.naive_bayes.MultinomialNB,-0.0003539405379896265,0.0015735797944386853
151,18,sklearn.neighbors.KNeighborsClassifier,-0.0012668615914472267,0.003844980985864965
152,18,sklearn.neural_network.MLPClassifier,-0.0029761904761904717,0.0015213328471145918
153,18,sklearn.tree.DecisionTreeClassifier,-0.005472220433914876,0.0021265209553853084
154,18,sklearn.tree.ExtraTreeClassifier,0.0,0.002322263918161729
155,21,SVC_linear,-0.0006062075654704112,0.0012224075633387103
156,21,SVC_poly,-0.0006767789618425574,0.001182905269361104
157,21,SVC_rbf,-0.0011387347956639015,0.0014682681052470901
158,21,SVC_sigmoid,-0.00047097008488810184,0.0024250058806779607
159,21,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.0015771412132171826,0.0010805386596525835
160,21,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.006181558765828424,0.009117174959871617
161,21,sklearn.ensemble.ExtraTreesClassifier,-0.0003533085013146349,0.00144701285422145
162,21,sklearn.ensemble.GradientBoostingClassifier,-0.0006790986612873652,0.0008753782321657876
163,21,sklearn.ensemble.RandomForestClassifier,-0.00031311529205862955,0.0009928231118889511
164,21,sklearn.linear_model.LogisticRegression,0.0,0.0008585878580336156
165,21,sklearn.linear_model.PassiveAggressiveClassifier,-0.0002871912693854104,0.0015393136444256537
166,21,sklearn.linear_model.Perceptron,-0.0008499002291035386,0.0021531753295850635
167,21,sklearn.linear_model.RidgeClassifier,-0.0005180989223542406,0.0011925869638635615
168,21,sklearn.linear_model.SGDClassifier,-0.00033386270121995123,0.002233270771674007
169,21,sklearn.naive_bayes.BernoulliNB,-0.0004021447721179617,0.0012144133792927406
170,21,sklearn.naive_bayes.MultinomialNB,-0.0003402871812231976,0.0015643513033175437
171,21,sklearn.neighbors.KNeighborsClassifier,-0.0013590391908975972,0.0018011474113011194
172,21,sklearn.neural_network.MLPClassifier,-0.0012442476990796303,0.0005674144657863156
173,21,sklearn.tree.DecisionTreeClassifier,-0.0003894251066369686,0.0008193808637098164
174,21,sklearn.tree.ExtraTreeClassifier,-0.0006404605806842604,0.0018650362364207404
175,22,SVC_linear,-0.0011408265274244621,0.0016495961083590044
176,22,SVC_poly,-0.00029768609403662557,0.0008980094021770131
177,22,SVC_rbf,-0.002583441403317195,0.0012096254332279192
178,22,SVC_sigmoid,-0.0032128974493361227,0.004676269092542679
179,22,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.009417884678355611,0.0030062686670834266
180,22,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.004220558202859093,0.007235132124512657
